distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,
wavre,,,,annual,management,17.48,21,,,,, 2020-01-01, 2020-12-31,
wavre,simple,,simple,per_kwh,distribution_simple,0.0680502,21,,,,, 2020-01-01, 2020-12-31,
wavre,simple,,day,per_kwh,distribution_day,0.0732890,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
wavre,simple,,night,per_kwh,distribution_night,0.0523336,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
wavre,simple,,night_excl,per_kwh,distribution_night_excl,0.0523336,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
wavre,smart,false,simple,per_kwh,distribution_simple,0.0680502,21,,,,, 2020-01-01, 2020-12-31,
wavre,smart,false,day,per_kwh,distribution_day,0.0732890,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
wavre,smart,false,night,per_kwh,distribution_night,0.0523336,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
wavre,smart,false,night_excl,per_kwh,distribution_night_excl,0.0523336,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
wavre,smart,true,simple,per_kwh,distribution_simple,0.0031182,21,,,,, 2020-01-01, 2020-12-31,
wavre,smart,true,day,per_kwh,distribution_day,0.0033513,21,7:00:00,22:00:00,,, 2020-01-01, 2020-12-31,
wavre,smart,true,night,per_kwh,distribution_night,0.0024188,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
wavre,smart,true,night_excl,per_kwh,distribution_night_excl,0.0024188,21,22:00:00,7:00:00,,, 2020-01-01, 2020-12-31,
wavre,smart,true,,annual_per_kw,peak,10.8984947,21,,,,, 2020-01-01, 2020-12-31,Pointe historique pendant la période tarifaire de pointe
wavre,smart,true,,annual_per_kw,peak_monthly_avrg,3.6328316,21,,,,, 2020-01-01, 2020-12-31,Pointe du mois pendant la période tarifaire de pointe
wavre,,,,annual_per_kw,prosumer,73.9346961,21,,,,, 2020-01-01, 2020-12-31,
wavre,,,,annual,injection,12.85,21,,,,, 2020-01-01, 2020-12-31,
wavre,,,,per_kwh,injection,2.6159225,21,,,,, 2020-01-01, 2020-12-31,
wavre,,,,per_kwh,public_service,0.01067180,21,,,,, 2020-01-01, 2020-12-31,
wavre,,,,per_kwh,road_fee,0.00274040,,,,,, 2020-01-01, 2020-12-31,
wavre,,,,per_kwh,corp_tax,0.00579390,,,,,, 2020-01-01, 2020-12-31,
wavre,,,,per_kwh,other_tax,0.0000827,,,,,, 2020-01-01, 2020-12-31,
wavre,,,,per_kwh,reg_balance,0.0069021,21,,,,, 2020-01-01, 2020-12-31,
wavre,,,,monthly,accise,4.74801887,21,,,,, 2020-01-01, 2020-12-31,
wavre,,,,per_kwh,energy_contribution,0.00192642,21,,,,, 2020-01-01, 2020-12-31,
wavre,,,,per_kwh,green_certs,0.02858491,21,,,,, 2020-01-01, 2020-12-31,
wavre,,,,per_kwh,connection,0.00070755,21,,,,, 2020-01-01, 2020-12-31,
,,,,,,,,,,,,,,
wavre,,,,annual,management,17.51,21,,,,, 2021-01-01, 2021-12-31,
wavre,simple,,simple,per_kwh,distribution_simple,0.0692108,21,,,,, 2021-01-01, 2021-12-31,
wavre,simple,,day,per_kwh,distribution_day,0.0745455,21,7:00:00,22:00:00,,, 2021-01-01, 2021-12-31,
wavre,simple,,night,per_kwh,distribution_night,0.0532064,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
wavre,simple,,night_excl,per_kwh,distribution_night_excl,0.0532064,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
wavre,smart,false,simple,per_kwh,distribution_simple,0.0692108,21,,,,, 2021-01-01, 2021-12-31,
wavre,smart,false,day,per_kwh,distribution_day,0.0745455,21,7:00:00,22:00:00,,, 2021-01-01, 2021-12-31,
wavre,smart,false,night,per_kwh,distribution_night,0.0532064,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
wavre,smart,false,night_excl,per_kwh,distribution_night_excl,0.0532064,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
wavre,smart,true,simple,per_kwh,distribution_simple,0.003089,21,,,,, 2021-01-01, 2021-12-31,
wavre,smart,true,day,per_kwh,distribution_day,0.0033199,21,7:00:00,22:00:00,,, 2021-01-01, 2021-12-31,
wavre,smart,true,night,per_kwh,distribution_night,0.0023961,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
wavre,smart,true,night_excl,per_kwh,distribution_night_excl,0.00239610,21,22:00:00,7:00:00,,, 2021-01-01, 2021-12-31,
wavre,smart,true,,annual_per_kw,peak,10.9507463,21,,,,, 2021-01-01, 2021-12-31,Pointe historique pendant la période tarifaire de pointe
wavre,smart,true,,annual_per_kw,peak_monthly_avrg,3.6502488,21,,,,, 2021-01-01, 2021-12-31,Pointe du mois pendant la période tarifaire de pointe
wavre,,,,annual_per_kw,prosumer,75.0002178,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,annual,injection,13.11,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,per_kwh,injection,2.656731,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,per_kwh,public_service,0.0110688,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,per_kwh,road_fee,0.0028153,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,per_kwh,corp_tax,0.0059247,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,per_kwh,other_tax,0.0000849,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,per_kwh,reg_balance,0.0070177,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,monthly,accise,4.74801887,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,per_kwh,energy_contribution,0.00192642,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,per_kwh,green_certs,0.02858491,21,,,,, 2021-01-01, 2021-12-31,
wavre,,,,per_kwh,connection,0.00070755,21,,,,, 2021-01-01, 2021-12-31,
,,,,,,,,,,,,,,
wavre,,,,annual,management,17.54,21,,,,, 2022-01-01, 2022-02-28,
wavre,simple,,simple,per_kwh,distribution_simple,0.0703594,21,,,,, 2022-01-01, 2022-02-28,
wavre,simple,,day,per_kwh,distribution_day,0.0757898,21,7:00:00,22:00:00,,, 2022-01-01, 2022-02-28,
wavre,simple,,night,per_kwh,distribution_night,0.0540683,21,22:00:00,7:00:00,,, 2022-01-01, 2022-02-28,
wavre,simple,,night_excl,per_kwh,distribution_night_excl,0.0540683,21,22:00:00,7:00:00,,, 2022-01-01, 2022-02-28,
wavre,smart,false,simple,per_kwh,distribution_simple,0.0703594,21,,,,, 2022-01-01, 2022-02-28,
wavre,smart,false,day,per_kwh,distribution_day,0.0757898,21,7:00:00,22:00:00,,, 2022-01-01, 2022-02-28,
wavre,smart,false,night,per_kwh,distribution_night,0.0540683,21,22:00:00,7:00:00,,, 2022-01-01, 2022-02-28,
wavre,smart,false,night_excl,per_kwh,distribution_night_excl,0.0540683,21,22:00:00,7:00:00,,, 2022-01-01, 2022-02-28,
wavre,smart,true,simple,per_kwh,distribution_simple,0.0030495,21,,,,, 2022-01-01, 2022-02-28,
wavre,smart,true,day,per_kwh,distribution_day,0.0032775,21,7:00:00,22:00:00,,, 2022-01-01, 2022-02-28,
wavre,smart,true,night,per_kwh,distribution_night,0.0023655,21,22:00:00,7:00:00,,, 2022-01-01, 2022-02-28,
wavre,smart,true,night_excl,per_kwh,distribution_night_excl,0.0023655,21,22:00:00,7:00:00,,, 2022-01-01, 2022-02-28,
wavre,smart,true,,annual_per_kw,peak,11.0029954,21,,,,, 2022-01-01, 2022-02-28,Pointe historique pendant la période tarifaire de pointe
wavre,smart,true,,annual_per_kw,peak_monthly_avrg,3.6676651,21,,,,, 2022-01-01, 2022-02-28,Pointe du mois pendant la période tarifaire de pointe
wavre,,,,annual_per_kw,prosumer,76.1147472,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,annual,injection,13.3800000,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,per_kwh,injection,2.6981447,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,per_kwh,public_service,0.0115587,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,per_kwh,road_fee,0.0028916,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,per_kwh,corp_tax,0.0060583,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,per_kwh,other_tax,0.0000872,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,per_kwh,reg_balance,0.0071347,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,monthly,accise,4.74801887,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,per_kwh,energy_contribution,0.00192642,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,per_kwh,green_certs,0.02858491,21,,,,, 2022-01-01, 2022-02-28,
wavre,,,,per_kwh,connection,0.00070755,21,,,,, 2022-01-01, 2022-02-28,
,,,,,,,,,,,,,,
wavre,,,,annual,management,17.54,6,,,,, 2022-03-01, 2022-12-31,
wavre,simple,,simple,per_kwh,distribution_simple,0.0703594,6,,,,, 2022-03-01, 2022-12-31,
wavre,simple,,day,per_kwh,distribution_day,0.0757898,6,7:00:00,22:00:00,,, 2022-03-01, 2022-12-31,
wavre,simple,,night,per_kwh,distribution_night,0.0540683,6,22:00:00,7:00:00,,, 2022-03-01, 2022-12-31,
wavre,simple,,night_excl,per_kwh,distribution_night_excl,0.0540683,6,22:00:00,7:00:00,,, 2022-03-01, 2022-12-31,
wavre,smart,false,simple,per_kwh,distribution_simple,0.0703594,6,,,,, 2022-03-01, 2022-12-31,
wavre,smart,false,day,per_kwh,distribution_day,0.0757898,6,7:00:00,22:00:00,,, 2022-03-01, 2022-12-31,
wavre,smart,false,night,per_kwh,distribution_night,0.0540683,6,22:00:00,7:00:00,,, 2022-03-01, 2022-12-31,
wavre,smart,false,night_excl,per_kwh,distribution_night_excl,0.0540683,6,22:00:00,7:00:00,,, 2022-03-01, 2022-12-31,
wavre,smart,true,simple,per_kwh,distribution_simple,0.0030495,6,,,,, 2022-03-01, 2022-12-31,
wavre,smart,true,day,per_kwh,distribution_day,0.0032775,6,7:00:00,22:00:00,,, 2022-03-01, 2022-12-31,
wavre,smart,true,night,per_kwh,distribution_night,0.0023655,6,22:00:00,7:00:00,,, 2022-03-01, 2022-12-31,
wavre,smart,true,night_excl,per_kwh,distribution_night_excl,0.0023655,6,22:00:00,7:00:00,,, 2022-03-01, 2022-12-31,
wavre,smart,true,,annual_per_kw,peak,11.0029954,6,,,,, 2022-03-01, 2022-12-31,Pointe historique pendant la période tarifaire de pointe
wavre,smart,true,,annual_per_kw,peak_monthly_avrg,3.6676651,6,,,,, 2022-03-01, 2022-12-31,Pointe du mois pendant la période tarifaire de pointe
wavre,,,,annual_per_kw,prosumer,76.1147472,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,annual,injection,13.3800000,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,per_kwh,injection,2.6981447,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,per_kwh,public_service,0.0115587,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,per_kwh,road_fee,0.0028916,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,per_kwh,corp_tax,0.0060583,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,per_kwh,other_tax,0.0000872,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,per_kwh,reg_balance,0.0071347,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,monthly,accise,4.74801887,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,per_kwh,energy_contribution,0.00192642,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,per_kwh,green_certs,0.02858491,6,,,,, 2022-03-01, 2022-12-31,
wavre,,,,per_kwh,connection,0.00070755,6,,,,, 2022-03-01, 2022-12-31,
,,,,,,,,,,,,,,
wavre,,,,annual,management,17.57,6,,,,, 2023-01-01, 2023-02-28,
wavre,simple,,simple,per_kwh,distribution_simple,0.0714939,6,,,,, 2023-01-01, 2023-02-28,
wavre,simple,,day,per_kwh,distribution_day,0.0777101,6,7:00:00,22:00:00,,, 2023-01-01, 2023-02-28,
wavre,simple,,night,per_kwh,distribution_night,0.0549174,6,22:00:00,7:00:00,,, 2023-01-01, 2023-02-28,
wavre,simple,,night_excl,per_kwh,distribution_night_excl,0.0549174,6,22:00:00,7:00:00,,, 2023-01-01, 2023-02-28,
wavre,smart,false,simple,per_kwh,distribution_simple,0.0714939,6,,,,, 2023-01-01, 2023-02-28,
wavre,smart,false,day,per_kwh,distribution_day,0.0777101,6,7:00:00,22:00:00,,, 2023-01-01, 2023-02-28,
wavre,smart,false,night,per_kwh,distribution_night,0.0549174,6,22:00:00,7:00:00,,, 2023-01-01, 2023-02-28,
wavre,smart,false,night_excl,per_kwh,distribution_night_excl,0.0549174,6,22:00:00,7:00:00,,, 2023-01-01, 2023-02-28,
wavre,smart,true,simple,per_kwh,distribution_simple,0.0030017,6,,,,, 2023-01-01, 2023-02-28,
wavre,smart,true,day,per_kwh,distribution_day,0.0032542,6,7:00:00,22:00:00,,, 2023-01-01, 2023-02-28,
wavre,smart,true,night,per_kwh,distribution_night,0.0023284,6,22:00:00,7:00:00,,, 2023-01-01, 2023-02-28,
wavre,smart,true,night_excl,per_kwh,distribution_night_excl,0.0023284,6,22:00:00,7:00:00,,, 2023-01-01, 2023-02-28,
wavre,smart,true,,annual_per_kw,peak,11.0549221,6,,,,, 2023-01-01, 2023-02-28,Pointe historique pendant la période tarifaire de pointe
wavre,smart,true,,annual_per_kw,peak_monthly_avrg,3.6849740,6,,,,, 2023-01-01, 2023-02-28,Pointe du mois pendant la période tarifaire de pointe
wavre,,,,annual_per_kw,prosumer,73.2769974,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,annual,injection,13.66,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,per_kwh,injection,2.7401973,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,per_kwh,public_service,0.0123336,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,per_kwh,road_fee,0.0029694,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,per_kwh,corp_tax,0.0061933,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,per_kwh,other_tax,0.0000896,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,per_kwh,reg_balance,0,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,monthly,accise,4.74801887,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,per_kwh,energy_contribution,0.00192642,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,per_kwh,green_certs,0.02858491,6,,,,, 2023-01-01, 2023-02-28,
wavre,,,,per_kwh,connection,0.00070755,6,,,,, 2023-01-01, 2023-02-28,
,,,,,,,,,,,,,,
wavre,,,,annual,management,17.57,6,,,,, 2023-03-01, 2023-12-31,
wavre,simple,,simple,per_kwh,distribution_simple,0.0714939,6,,,,, 2023-03-01, 2023-12-31,
wavre,simple,,day,per_kwh,distribution_day,0.0777101,6,7:00:00,22:00:00,,, 2023-03-01, 2023-12-31,
wavre,simple,,night,per_kwh,distribution_night,0.0549174,6,22:00:00,7:00:00,,, 2023-03-01, 2023-12-31,
wavre,simple,,night_excl,per_kwh,distribution_night_excl,0.0549174,6,22:00:00,7:00:00,,, 2023-03-01, 2023-12-31,
wavre,smart,false,simple,per_kwh,distribution_simple,0.0714939,6,,,,, 2023-03-01, 2023-12-31,
wavre,smart,false,day,per_kwh,distribution_day,0.0777101,6,7:00:00,22:00:00,,, 2023-03-01, 2023-12-31,
wavre,smart,false,night,per_kwh,distribution_night,0.0549174,6,22:00:00,7:00:00,,, 2023-03-01, 2023-12-31,
wavre,smart,false,night_excl,per_kwh,distribution_night_excl,0.0549174,6,22:00:00,7:00:00,,, 2023-03-01, 2023-12-31,
wavre,smart,true,simple,per_kwh,distribution_simple,0.0030017,6,,,,, 2023-03-01, 2023-12-31,
wavre,smart,true,day,per_kwh,distribution_day,0.0032542,6,7:00:00,22:00:00,,, 2023-03-01, 2023-12-31,
wavre,smart,true,night,per_kwh,distribution_night,0.0023284,6,22:00:00,7:00:00,,, 2023-03-01, 2023-12-31,
wavre,smart,true,night_excl,per_kwh,distribution_night_excl,0.0023284,6,22:00:00,7:00:00,,, 2023-03-01, 2023-12-31,
wavre,smart,true,,annual_per_kw,peak,11.0549221,6,,,,, 2023-03-01, 2023-12-31,Pointe historique pendant la période tarifaire de pointe
wavre,smart,true,,annual_per_kw,peak_monthly_avrg,3.6849740,6,,,,, 2023-03-01, 2023-12-31,Pointe du mois pendant la période tarifaire de pointe
wavre,,,,annual_per_kw,prosumer,73.2769974,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,annual,injection,13.66,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,per_kwh,injection,2.7401973,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,per_kwh,public_service,0.0123336,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,per_kwh,road_fee,0.0029694,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,per_kwh,corp_tax,0.0061933,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,per_kwh,other_tax,0.0000896,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,per_kwh,reg_balance,0.0179201,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,monthly,accise,4.74801887,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,per_kwh,energy_contribution,0.00192642,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,per_kwh,green_certs,0.02858491,6,,,,, 2023-03-01, 2023-12-31,
wavre,,,,per_kwh,connection,0.00070755,6,,,,, 2023-03-01, 2023-12-31,
,,,,,,,,,,,,,,
wavre,,,,annual,management,16.35,6,,,,, 2024-01-01, 2024-12-31,
wavre,simple,,simple,per_kwh,distribution_simple,0.0746183,6,,,,, 2024-01-01, 2024-12-31,
wavre,simple,,day,per_kwh,distribution_day,0.0761945,6,7:00:00,22:00:00,,, 2024-01-01, 2024-12-31,
wavre,simple,,night,per_kwh,distribution_night,0.0545184,6,22:00:00,7:00:00,,, 2024-01-01, 2024-12-31,
wavre,simple,,night_excl,per_kwh,distribution_night_excl,0.0545184,6,22:00:00,7:00:00,,, 2024-01-01, 2024-12-31,
wavre,smart,false,simple,per_kwh,distribution_simple,0.0746183,6,,,,, 2024-01-01, 2024-12-31,
wavre,smart,false,day,per_kwh,distribution_day,0.0761945,6,7:00:00,22:00:00,,, 2024-01-01, 2024-12-31,
wavre,smart,false,night,per_kwh,distribution_night,0.0545184,6,22:00:00,7:00:00,,, 2024-01-01, 2024-12-31,
wavre,smart,false,night_excl,per_kwh,distribution_night_excl,0.0545184,6,22:00:00,7:00:00,,, 2024-01-01, 2024-12-31,
wavre,smart,true,simple,per_kwh,distribution_simple,0.0033795,6,,,,, 2024-01-01, 2024-12-31,
wavre,smart,true,day,per_kwh,distribution_day,0.0036637,6,7:00:00,22:00:00,,, 2024-01-01, 2024-12-31,
wavre,smart,true,night,per_kwh,distribution_night,0.0026215,6,22:00:00,7:00:00,,, 2024-01-01, 2024-12-31,
wavre,smart,true,night_excl,per_kwh,distribution_night_excl,0.0026215,6,22:00:00,7:00:00,,, 2024-01-01, 2024-12-31,
wavre,smart,true,,annual_per_kw,peak,11.3994559,6,,,,, 2024-01-01, 2024-12-31,Pointe historique pendant la période tarifaire de pointe
wavre,smart,true,,annual_per_kw,peak_monthly_avrg,3.7998186,6,,,,, 2024-01-01, 2024-12-31,Pointe du mois pendant la période tarifaire de pointe
wavre,,,,annual_per_kw,prosumer,71.9399638,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,annual,injection,13.66,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,per_kwh,injection,2.7401973,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,per_kwh,public_service,0.0130962,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,per_kwh,road_fee,0.0030525,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,per_kwh,corp_tax,0.0064727,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,per_kwh,other_tax,0.0000918,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,per_kwh,reg_balance,0.0050385,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,monthly,accise,4.74801887,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,per_kwh,energy_contribution,0.00192642,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,per_kwh,green_certs,0.02858491,6,,,,, 2024-01-01, 2024-12-31,
wavre,,,,per_kwh,connection,0.00070755,6,,,,, 2024-01-01, 2024-12-31,